iter	Passed	Remaining
0	60	60333
1	60	30361
2	61	20337
3	61	15322
4	61	12311
5	62	10310
6	62	8889
7	63	7814
8	63	6979
9	63	6311
10	64	5764
11	64	5307
12	64	4918
13	65	4585
14	65	4296
15	65	4045
16	66	3822
17	66	3624
18	66	3446
19	67	3285
20	67	3139
21	67	3006
22	67	2886
23	68	2776
24	68	2674
25	68	2581
26	69	2493
27	69	2412
28	69	2337
29	70	2268
30	70	2204
31	71	2154
32	71	2109
33	72	2057
34	72	2005
35	73	1956
36	73	1910
37	73	1866
38	74	1823
39	74	1783
40	74	1744
41	74	1707
42	75	1671
43	75	1637
44	75	1605
45	75	1574
46	76	1545
47	76	1517
48	76	1489
49	77	1464
50	77	1439
51	77	1414
52	77	1391
53	78	1368
54	78	1347
55	78	1326
56	79	1307
57	79	1287
58	79	1268
59	79	1250
60	80	1233
61	80	1216
62	80	1200
63	80	1184
64	81	1168
65	81	1154
66	81	1139
67	82	1125
68	82	1110
69	82	1097
70	82	1084
71	83	1071
72	83	1059
73	83	1047
74	83	1035
75	84	1024
76	84	1013
77	84	1002
78	85	991
79	85	981
80	85	971
81	85	961
82	85	949
83	86	940
84	86	932
85	86	923
86	87	914
87	87	905
88	87	897
89	87	889
90	88	880
91	88	872
92	88	865
93	88	857
94	89	850
95	89	842
96	89	835
97	89	828
98	90	821
99	90	814
100	90	807
101	90	800
102	91	794
103	91	788
104	91	781
105	91	775
106	92	769
107	92	763
108	92	757
109	92	752
110	93	746
111	93	741
112	93	735
113	93	730
114	94	725
115	94	720
116	94	714
117	94	709
118	95	704
119	95	699
120	95	695
121	95	689
122	96	685
123	96	680
124	96	676
125	96	671
126	97	666
127	97	662
128	97	658
129	97	654
130	97	650
131	98	646
132	98	642
133	98	638
134	98	634
135	99	630
136	99	626
137	99	623
138	100	619
139	100	615
140	100	612
141	100	607
142	100	604
143	101	601
144	101	597
145	101	594
146	101	591
147	102	588
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	560
157	104	557
158	104	554
159	105	552
160	105	548
161	105	545
162	105	543
163	106	540
164	106	537
165	106	534
166	106	532
167	106	529
168	107	527
169	107	524
170	107	522
171	107	519
172	108	517
173	108	515
174	108	512
175	108	510
176	109	508
177	109	505
178	109	503
179	110	501
180	110	499
181	110	496
182	110	494
183	111	492
184	111	490
185	111	488
186	111	485
187	112	483
188	112	481
189	112	479
190	112	477
191	113	475
192	113	473
193	113	471
194	113	470
195	114	468
196	114	466
197	114	464
198	114	462
199	115	460
200	115	458
201	115	457
202	115	455
203	116	453
204	116	451
205	116	450
206	117	448
207	117	446
208	117	444
209	117	443
210	118	441
211	118	439
212	118	438
213	118	436
214	119	434
215	119	433
216	119	431
217	119	429
218	120	428
219	120	426
220	120	425
221	120	423
222	121	421
223	121	420
224	121	418
225	121	417
226	122	415
227	122	414
228	122	412
229	122	411
230	123	409
231	123	408
232	123	406
233	123	405
234	124	404
235	124	402
236	124	401
237	124	399
238	125	398
239	125	396
240	125	395
241	125	394
242	126	392
243	126	391
244	126	390
245	126	388
246	127	387
247	127	386
248	127	384
249	127	383
250	128	381
251	128	380
252	128	379
253	128	378
254	129	376
255	129	375
256	129	374
257	129	373
258	130	372
259	130	370
260	130	369
261	130	368
262	131	367
263	131	366
264	131	365
265	131	364
266	132	362
267	132	361
268	132	360
269	132	359
270	133	358
271	133	357
272	133	355
273	133	354
274	134	353
275	134	352
276	134	351
277	134	350
278	135	349
279	135	348
280	135	347
281	135	346
282	136	345
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	338
289	138	337
290	138	336
291	138	335
292	138	334
293	139	333
294	139	332
295	139	331
296	139	330
297	140	329
298	140	328
299	140	327
300	140	326
301	140	325
302	141	324
303	141	323
304	141	322
305	141	321
